Категория;Ключевое слово;Частота Yandex;Регион;Дата съёма;Затравка;Затравок;Намерение;Слов
Скакалки;скакалка;5246;149;2026-08-19;скакалка;1;общий;1
Скакалки;сова на скакалке;2251;149;2026-08-19;скакалка;1;общий;3
Мешки и груши;боксерская груша;1004;149;2026-08-19;боксерская груша;1;общий;2
Капы;капа купить;893;149;2026-08-19;купить капу;1;покупка;2
Капы;купить кап;893;149;2026-08-19;купить капу;1;покупка;2
Боксерские перчатки;боксерские перчатки;708;149;2026-08-19;боксерские перчатки;1;общий;2
Капы;скин кап купить;453;149;2026-08-19;купить капу;1;покупка;3
Мешки и груши;боксерская груша купить;424;149;2026-08-19;боксерская груша;1;покупка;3
Скакалки;прыжки на скакалке;352;149;2026-08-19;скакалка;1;общий;3
Мешки и груши;боксерский мешок;345;149;2026-08-19;боксерский мешок;1;общий;2
Обувь для бокса;борцовки;321;149;2026-08-19;борцовки;1;общий;1
Скакалки;со скакалкой;293;149;2026-08-19;скакалка;1;общий;2
Бренд и общее;спортивные магазины в минске;275;149;2026-08-19;спортивный магазин минск;1;гео;4
Обувь для бокса;боксерки;242;149;2026-08-19;боксерки;1;общий;1
Скакалки;порка скакалкой;238;149;2026-08-19;скакалка;1;общий;2
Капы;купить капу минск;233;149;2026-08-19;купить капу;1;покупка;3
Скакалки;карта на скакалке;224;149;2026-08-19;скакалка;1;общий;3
Скакалки;скакалка сколько;215;149;2026-08-19;скакалка;1;общий;2
Капы;скин кап шампунь купить;201;149;2026-08-19;купить капу;1;покупка;4
Скакалки;карта сова на скакалке;193;149;2026-08-19;скакалка;1;общий;4
Скакалки;мем на скакалке;192;149;2026-08-19;скакалка;1;нецелевое;3
Скакалки;сова на скакалке мем;186;149;2026-08-19;скакалка;1;нецелевое;4
Скакалки;что значит сова на скакалке;179;149;2026-08-19;скакалка;1;общий;5
Скакалки;скакалка купить;167;149;2026-08-19;скакалка;2;покупка;2
Боксерские перчатки;купить боксерские перчатки;164;149;2026-08-19;боксерские перчатки;2;покупка;3
Боксерские перчатки;перчатки для бокса;157;149;2026-08-19;перчатки для бокса;1;общий;3
Скакалки;сова со скакалкой;140;149;2026-08-19;скакалка;1;общий;3
Мешки и груши;боксерский мешок купить;134;149;2026-08-19;боксерский мешок;1;покупка;3
Мешки и груши;груша для бокса;134;149;2026-08-19;груша для бокса;1;общий;3
Капы;кап крем купить;132;149;2026-08-19;купить капу;1;покупка;3
Капы;скин кап крем купить;129;149;2026-08-19;купить капу;1;покупка;4
Капы;скин кап купить в минске;122;149;2026-08-19;купить капу;1;покупка;5
Скакалки;можно скакалка;122;149;2026-08-19;скакалка;1;общий;2
Скакалки;порно скакалка;115;149;2026-08-19;скакалка;1;нецелевое;2
Бренд и общее;магазин спортивного питания минск;115;149;2026-08-19;спортивный магазин минск;1;гео;4
Скакалки;как прыгать на скакалке;101;149;2026-08-19;скакалка;1;общий;4
Скакалки;сава на скакалке;98;149;2026-08-19;скакалка;1;общий;3
